Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Croatia,12.43441667,11.33325,12.54908333,11.93158333,13.11,11.88175,11.12575,11.82741667,12.10091667,12.3165,13.22641667,12.411,12.89891667,12.567,11.91941667,11.37625,12.24166667,13.0665,12.97708333,12.87508333,11.96083333,12.75516667,12.9735,13.589
Curacao,27.69191667,27.70175,27.90833333,27.99958333,27.92033333,28.22183333,27.95366667,28.07816667,28.40266667,27.68316667,27.56408333,28.01041667,28.24291667,28.26608333,27.89066667,28.20958333,28.26533333,28.28466667,27.9185,28.2525,28.4735,27.97975,28.053,28.1205
Cyprus,19.19441667,19.08275,18.04925,18.949,19.802,19.079,19.47558333,18.87625,19.96408333,20.07375,19.442,20.01175,19.72916667,19.73508333,19.59575,19.58708333,19.54016667,19.94533333,20.14475,20.15733333,20.952,19.68191667,20.012,20.349875
Czech Republic,8.962666667,7.772,9.103833333,8.142,9.452416667,8.41175,6.850083333,8.139333333,8.696,8.89725,9.659,8.378833333,9.203666667,8.871333333,8.445916667,8.327916667,8.865333333,9.601333333,9.41475,8.965666667,7.75225,9.172166667,8.927583333,9.281
Côte d'Ivoire,26.4985,26.33466667,26.17725,26.32283333,26.24825,26.4645,26.42333333,26.46083333,27.04066667,26.41458333,26.40233333,26.67333333,26.76966667,26.93933333,26.82858333,26.91491667,26.7915,26.94458333,26.75825,26.93433333,27.14658333,26.83725,26.55241667,27.061125
Denmark,-17.87033333,-17.82791667,-19.00041667,-18.71616667,-18.08541667,-17.69783333,-16.80566667,-17.45533333,-16.62091667,-17.69908333,-16.8245,-17.06775,-16.29108333,-15.74708333,-16.77058333,-15.643,-16.57433333,-16.53308333,-16.84333333,-16.78316667,-15.08575,-16.64141667,-16.26091667,-14.92725
Denmark,9.708833333,8.57775,9.38425,8.059083333,8.96725,8.623666667,7.234083333,8.894916667,8.563083333,9.283083333,9.582916667,8.62375,9.44325,8.998666667,9.02175,9.054416667,9.683833333,9.7635,9.730083333,9.130416667,7.295333333,9.252833333,8.58825,8.516375
Djibouti,29.303,29.28941667,28.999,28.74083333,29.06233333,29.25975,29.16525,29.26933333,29.7805,29.3715,29.86,29.47691667,29.53158333,29.75783333,29.54091667,29.80858333,29.77741667,29.78633333,29.33925,29.89675,29.837,29.84433333,29.92358333,30.74475
Dominica,26.62983333,26.54458333,26.619,26.64791667,26.6245,26.97433333,26.6325,26.95716667,27.268,26.81325,26.5715,26.90216667,26.93566667,27.08,26.82966667,27.31925,27.14858333,27.09441667,26.66466667,26.9505,27.48683333,26.98783333,27.11233333,26.922125
Dominican Republic,26.17116667,26.05341667,25.94133333,25.9165,26.28058333,26.35775,25.87075,26.69725,26.67633333,26.17283333,25.88041667,26.34066667,26.58125,26.62633333,26.35875,26.52116667,26.58566667,26.626,26.19925,26.42308333,26.45558333,26.25075,26.34008333,26.29033333
Ecuador,22.43475,22.5295,22.6115,22.42158333,22.21708333,22.57416667,22.0325,23.08291667,23.121,21.90216667,22.026,22.23608333,22.76366667,22.66833333,22.64791667,22.5295,22.60316667,22.35975,22.22425,22.67716667,22.63991667,22.33666667,22.44591667,22.264125
"Egypt, Arab Rep.",23.09141667,23.0885,22.55491667,23.39225,23.235,23.16916667,23.42633333,22.93966667,23.68241667,23.77933333,22.88141667,23.61633333,23.71625,23.49641667,23.51108333,23.52025,23.50566667,23.58433333,23.90791667,23.735,25.15191667,23.33141667,23.77091667,24.50525
El Salvador,25.5665,25.64075,25.78191667,25.66308333,25.91316667,25.73408333,25.35441667,26.03575,26.13108333,25.27958333,25.40716667,25.49291667,25.71041667,25.72408333,25.74258333,25.62283333,25.7585,25.47516667,25.24825,25.78758333,25.45866667,25.54966667,25.56033333,25.91077778
Equatorial Guinea,25.285,25.23508333,24.88916667,25.18933333,25.2865,25.61458333,25.23841667,25.32525,26.0035,25.323,25.22058333,25.20725,25.5265,25.62741667,25.59416667,25.62391667,25.78541667,25.77366667,25.76875,25.83283333,25.9025,25.54566667,25.53683333,25.5905
